"|","|__acc","|__gyro"
"01:43:13 970178","37.13709364989518",""
"01:43:14 454778","","40025.10576359235"
"01:43:14 954505","68.21020841361405",""
"01:43:15 260566","","39219.94819243139"
"01:43:15 962246","83.06705931676515",""
"01:43:16 407316","","9050.439697506677"
"01:43:16 981519","102.15014821021487",""
"01:43:17 219910","","1238.2927965938625"
"01:43:18 104635","196.04567793187834",""
"01:43:18 550430","","28583.70685308889"
"01:43:19 104540","145.29663767000784",""
"01:43:19 312978","","26289.08145350302"
"01:43:20 139084","154.2874462567761",""
"01:43:20 559100","","14852.878542625302"
"01:43:21 116183","65.86328620151198",""
"01:43:21 596361","","15377.863413009283"
"01:43:21 955792","59.718751545473424",""
"01:43:22 231428","","51198.002462406424"
